name,slug,city_slug,category_slug,address,phone,website,rating,reviews,latitude,longitude,short_description,description,photo,google_maps_link,place_id
The Anchor Bar,the-anchor-bar-antrim,antrim,pubs,"10C High St, Antrim BT41 4AN",+44 28 9446 7748,,3.9,44,54.71487029999999,-6.218445399999999,Pub,,https://lh3.googleusercontent.com/gps-cs-s/AHVAwer2s7HtdVCFNgn3qB4rIy8yR5KO04s_QscImVMYFb22WCAYxb_myQsaIOq-XoTXrUa1-oVkXtQP1XcUR6fe0KNCxGg2JzclfxAzkYb3ePTup9G68hzfawqlV1vDAXXrEIEPasXE6w=w800-h500-k-no,"https://www.google.com/maps/place/The+Anchor+Bar/@54.714870299999994,-6.218445399999999,14z/data=!4m8!1m2!2m1!1sThe+Anchor+Bar!3m4!1s0x4861aca768893dfb:0xb63507252c6a434f!8m2!3d54.714870299999994!4d-6.218445399999999",ChIJ-z2JaKesYUgRT0NqLCUHNbY
Johnny Joe's Mccollum's Bar,johnny-joes-mccollums-bar-ballymena,ballymena,pubs,"23 Mill St, Cushendall, Ballymena BT44 0RR",+44 28 2177 1876,https://www.facebook.com/johnnyjoescushendall,4.8,106,55.0802021,-6.064978099999999,"Pub, Beer garden",,https://lh3.googleusercontent.com/gps-cs-s/AHVAwepWD0_iZFUQ5s77K5T-25Xur8cT7HnoMlBMjx93wtHYCL0JkZoR1IwQ4SByZQ2-mjhUBb_0ll4R3M2y9hloBH97Ehau9JvURpzQRCIY7svvlaH7_VIex13o1j-x-C1MePdNjcQ=w800-h500-k-no,"https://www.google.com/maps/place/Johnny+Joe%27s+Mccollum%27s+Bar/@55.0802021,-6.064978099999999,14z/data=!4m8!1m2!2m1!1sJohnny+Joe%27s+Mccollum%27s+Bar!3m4!1s0x4861c5e3fea03731:0xa6051111e7d750b2!8m2!3d55.0802021!4d-6.064978099999999",ChIJMTeg_uPFYUgRslDX5xERBaY
McMullan's Central Bar,mcmullans-central-bar-ballymena,ballymena,pubs,"7 Bridge St, Cushendall, Ballymena BT44 0RP",+44 28 2177 1730,,4.6,99,55.0806742,-6.0636024,"Pub, Restaurant",,https://lh3.googleusercontent.com/gps-cs-s/AHVAweo4ZeU0RIgYtz3o7LdvEdhXmHyBmhs84pmRCanv7kDFylGQthbQAaDShfbwWz78a7MzrGrQyZeoUHGR3z6qA5dpsRhOI2dvVfxX9DduV5odfIWFkfhOc1ZbOYs2hrQCj0Ds5BfXKw=w800-h500-k-no,"https://www.google.com/maps/place/McMullan%27s+Central+Bar/@55.0806742,-6.0636024,14z/data=!4m8!1m2!2m1!1sMcMullan%27s+Central+Bar!3m4!1s0x4861c5e6acb02607:0x413e9ff051a36a8!8m2!3d55.0806742!4d-6.0636024",ChIJByawrObFYUgRqDYaBf_pEwQ
The Lurig Inn,the-lurig-inn-ballymena,ballymena,bars,"5 Bridge Street, Cushendall, Ballymena BT44 0RP",+44 28 2177 1293,https://mcnaughtonguestrooms.com/,4.6,22,55.0805985,-6.0633043,Bar,,https://lh3.googleusercontent.com/gps-cs-s/AHVAwer19q0iJ2RcJ4h1WfQO_B-Kz22dAAm5psKV-D-8JQSS_zHn0tfgb8bO7bWgFtiw6dPSoEj6Z4QtRehf3qZomG2TTiC6ebZ465hiUl6_9oWUMDNVdjwpPNH2ki-Zw-JQetqCca5poQ=w800-h500-k-no,"https://www.google.com/maps/place/The+Lurig+Inn/@55.0805985,-6.0633042999999995,14z/data=!4m8!1m2!2m1!1sThe+Lurig+Inn!3m4!1s0x4861c762c3bbffff:0x481876529e3097eb!8m2!3d55.0805985!4d-6.0633042999999995",ChIJ__-7w2LHYUgR65cwnlJ2GEg
The Greedy Goat,the-greedy-goat-crumlin,crumlin,bars,"67 Main St, Crumlin BT29 4UR",+44 28 9460 0485,,4.5,8,54.6207298,-6.2176842,Bar & grill,,https://lh3.googleusercontent.com/gps-cs-s/AHVAweqR6Bb3xpLEIINuYyBzooraWkyeK4pDiVZ_XB8UOssU-Irw6dzE88xZR7jne9dM5JPosg9OiShTgdVSfX5jPbmDn1fVOm_rt-_rjfK-CnD_i625U_wZMLhRWamqhlQ_wHhJ0P-q57a1_LFV=w800-h500-k-no,"https://www.google.com/maps/place/The+Greedy+Goat/@54.6207298,-6.2176842,14z/data=!4m8!1m2!2m1!1sThe+Greedy+Goat!3m4!1s0x4860ff76ec21a221:0x8a5da86a312d53b1!8m2!3d54.6207298!4d-6.2176842",ChIJIaIh7Hb_YEgRsVMtMWqoXYo
Fiddlers Inn,fiddlers-inn-crumlin,crumlin,pubs,"36 Main St, Crumlin BT29 4UR",+44 28 9445 2221,,4.6,406,54.62035059999999,-6.2152335,Pub,,https://lh3.googleusercontent.com/gps-cs-s/AHVAwephY2LA7naAYrdhDkhlVQ49LOjamv2f7zAVAIVH5PpKqtPkmIsk-cB_zV1xc-6x2DXSZpRvqoweM_WO58ak4tqtP3lKVqkGKrsxpncRSTQ1alm6MIQtR-_UoH0UwGOZu8cdTLqa=w800-h500-k-no,"https://www.google.com/maps/place/Fiddlers+Inn/@54.620350599999995,-6.2152335,14z/data=!4m8!1m2!2m1!1sFiddlers+Inn!3m4!1s0x48610001fed6e125:0xe4f46efc8522f089!8m2!3d54.620350599999995!4d-6.2152335",ChIJJeHW_gEAYUgRifAihfxu9OQ
McKenna Bar,mckenna-bar-crumlin,crumlin,bars,"11 Ballyginniff Rd, Aldergrove, Crumlin BT29 4EF",+44 28 9442 2229,,4.5,71,54.6653812,-6.277476099999999,Bar,,https://lh3.googleusercontent.com/gps-cs-s/AHVAweqdAQ_2t3tVqIKCmMstKtZHH5rDeXsdbLDUbCy7yjHUqoA0yCJxb4VtCint5Q0rMYEzWD9EQS8fM2tbnI-pkBKYNMdVJTTgd1WmCYIuRBlS_kpuFnwHP-fpEeok9OR9YV0RUHwWofic583X=w800-h500-k-no,"https://www.google.com/maps/place/McKenna+Bar/@54.6653812,-6.2774760999999994,14z/data=!4m8!1m2!2m1!1sMcKenna+Bar!3m4!1s0x4860550215bbb119:0x49c850e9c81663c6!8m2!3d54.6653812!4d-6.2774760999999994",ChIJGbG7FQJVYEgRxmMWyOlQyEk
Lily's Kitchen & Bar,lilys-kitchen-bar-crumlin,crumlin,pubs,"18-22 Main St, Glenavy, Crumlin BT29 4LW",+44 28 9442 2467,https://www.lilyskitchenbar.co.uk/,4.6,616,54.5917013,-6.2135669,"Pub, Bar, Breakfast restaurant, Coffee shop, Bar & grill, Restaurant",,https://lh3.googleusercontent.com/gps-cs-s/AHVAweqrg6C2knYA1Fes3Rq6WXynJfpzgpHf4PCwyu2cNafzOn5MRhTy6lJvR52lP2Pq2xNAurzxHerDvHeHYgbQhL1yvo5WAKqFjHjEje61V2V694QnTTMLvjMEeme91UACmAMpCGOg=w800-h500-k-no,"https://www.google.com/maps/place/Lily%27s+Kitchen+%26+Bar/@54.5917013,-6.2135669,14z/data=!4m8!1m2!2m1!1sLily%27s+Kitchen+%26+Bar!3m4!1s0x48610003d3cebfc3:0x75a215231e146d3b!8m2!3d54.5917013!4d-6.2135669",ChIJw7_O0wMAYUgRO20UHiMVonU
Crooked Glen 2.0,crooked-glen-2-0-crumlin,crumlin,restaurants,"68 Main St, Crumlin BT29 4UR",+44 28 9460 0485,https://web.dojo.app/create_booking/vendor/EE_zySoV-Sj5BWaOehiQO9FxJosU3GIu6rH2JsDUENg_restaurant,4.3,362,54.6207297,-6.2176676,Restaurant,,https://lh3.googleusercontent.com/gps-cs-s/AHVAweoPxYdwOU2r4TtRAbd5HxDw4TVzEm65dgrkNs1DLv-WEFMXKAXKMZxAdycZ24z9PQUxlpj12KNP-WP5U-Uz3nRzg6YZOVdDfr5bzyT0C3tB6J0F-PLhrr-7ER39dtTI8Fh1BmY=w800-h500-k-no,"https://www.google.com/maps/place/Crooked+Glen+2.0/@54.6207297,-6.2176675999999995,14z/data=!4m8!1m2!2m1!1sCrooked+Glen+2.0!3m4!1s0x4860ff4d4c93d8b3:0x12f3a2a9efff63ae!8m2!3d54.6207297!4d-6.2176675999999995",ChIJs9iTTE3_YEgRrmP_76mi8xI
Ballyrobin Country Lodge,ballyrobin-country-lodge-crumlin,crumlin,hotels,"144-146 Ballyrobin Rd, Aldergrove, Crumlin BT29 4EG",+44 28 9442 2211,http://ballyrobincountrylodge.com/,4.4,895,54.666958,-6.193632699999999,"Hotel, Inn, Lodge, Lodging",Traditional hotel in a former farmhouse offering free Wi-Fi & a bistro with a bar.,https://lh3.googleusercontent.com/gps-proxy/ALd4DhERDsuq4zLMU9XFg2XbOBzcuIKa4Wu7gDdXRXHIUcrk3EkSBpnJWESGpNkIsBOWSr7zuxgIXxVY3IGr74ISh_u71CrgCBT-LCLAeOCHORXbJEiXUQuai03XGRtcIexPFLWNTHO4nyJ43rTRFAHVuHWp_DeovUYJAq1ShCXC6AqbwXYHR7H49F_QyA=w800-h500-k-no,"https://www.google.com/maps/place/Ballyrobin+Country+Lodge/@54.666958,-6.193632699999999,14z/data=!4m8!1m2!2m1!1sBallyrobin+Country+Lodge!3m4!1s0x4861aae1114d52a7:0x1d827480a0cc091a!8m2!3d54.666958!4d-6.193632699999999",ChIJp1JNEeGqYUgRGgnMoIB0gh0
Sip & Stone,sip-stone-crumlin,crumlin,bars,"Belfast Int'l Airport, Airport Rd, Belfast, Crumlin BT29 4AB",+44 28 9448 4573,http://www.foodtravelexperts.com/,4.1,2377,54.6617707,-6.2158371,Bar,,https://lh3.googleusercontent.com/gps-cs-s/AHVAwerdRakpjNFwjMfChvfWs9q-amL_RjX92dRZMe9jLrUqATeDeU_SmOPbGZ5HWfPJamDT6H_C4Qe3Mtnx615272bmB68JsJXQlTNE_BP6YgdRdBJY0dPt8hNFSI8k7Z3gR0M-3AGp=w800-h500-k-no,"https://www.google.com/maps/place/Sip+%26+Stone/@54.6617707,-6.2158371,14z/data=!4m8!1m2!2m1!1sSip+%26+Stone!3m4!1s0x4861aad107619283:0xbcbbf3f97a14e6e4!8m2!3d54.6617707!4d-6.2158371",ChIJg5JhB9GqYUgR5OYUevnzu7w
The Crosskeys Inn,the-crosskeys-inn-antrim,antrim,pubs,"40 Grange Rd, Toomebridge, Antrim BT41 3QB",+44 28 7965 0694,https://crosskeys-inn.com/,4.9,314,54.8057543,-6.420554699999999,"Pub, Irish pub",,https://lh3.googleusercontent.com/gps-cs-s/AHVAwerPmQTNI-YAZCjS3yoBOcBOXLsBuWW8HIOSUiuicyYbPbVC4CXuOhDpyuoSHilsMvoFyetarxEmTAcI21ABhLo01DOpcqJpo2nZeQx9OVUCBeFTE4ghxm1q2yi-KQVxrgWw7nAj=w800-h500-k-no,"https://www.google.com/maps/place/The+Crosskeys+Inn/@54.8057543,-6.420554699999999,14z/data=!4m8!1m2!2m1!1sThe+Crosskeys+Inn!3m4!1s0x48604e3a5c480587:0x8f25ee4a450144b9!8m2!3d54.8057543!4d-6.420554699999999",ChIJhwVIXDpOYEgRuUQBRUruJY8
Keef Halla Country House,keef-halla-country-house-crumlin,crumlin,b-and-bs,"20 Tully Rd, Crumlin BT29 4SW",+44 28 9082 5491,http://www.keefhalla.com/,4.9,225,54.6449587,-6.1614767,"Guest house, Hotel","Country-style rooms in a refined guesthouse with free breakfast & Wi-Fi, plus a sunroom & garden.",https://lh3.googleusercontent.com/gps-cs-s/AHVAweqYgkxNw-0s0I69usnm9Mk7jYTwxDeVky1UyokA-US0pVsFeip_OAVY05UkWr0jqsrReXILqv-f4O5evmxMqVAd_zxdK5Mjz46OkpLOgk5nI3bA0_zxs2XszkQ2a2-hsaQN6Cb4=w800-h500-k-no,"https://www.google.com/maps/place/Keef+Halla+Country+House/@54.6449587,-6.1614767,14z/data=!4m8!1m2!2m1!1sKeef+Halla+Country+House!3m4!1s0x4861aa8adafca855:0x786cb436a83b90aa!8m2!3d54.6449587!4d-6.1614767",ChIJVaj82oqqYUgRqpA7qDa0bHg
Ballyginniff Farm House B & B,ballyginniff-farm-house-b-b-crumlin,crumlin,b-and-bs,"45 Loughview Rd, Crumlin BT29 4RF",+44 7999 859333,,5.0,2,54.6573568,-6.2838106,Bed & breakfast,,https://lh3.googleusercontent.com/gps-cs-s/AHVAwerpUpnCWub6LkvG21so5Uq7fH7IQmoOLQXcyv7cnz4_CcrJHFda7tQ1aWAYrEx7Y-Y7eJToyujh7EGBe2j8cZmOaQXf0_cxXaD9Lg7brPIaJGVondi4CzM8pDk8yQFHC2BWcNTpKQ=w800-h500-k-no,"https://www.google.com/maps/place/Ballyginniff+Farm+House+B+%26+B/@54.657356799999995,-6.2838106,14z/data=!4m8!1m2!2m1!1sBallyginniff+Farm+House+B+%26+B!3m4!1s0x4860554e6f763585:0xe5f2bcbfd9268400!8m2!3d54.657356799999995!4d-6.2838106",ChIJhTV2b05VYEgRAIQm2b-88uU
The Sportsmans Inn,the-sportsmans-inn-ballyclare,ballyclare,bars,"71 Main St, Ballyclare BT39 9AA",+44 28 9332 2475,,4.6,86,54.7517308,-6.000198999999999,Bar,,https://lh3.googleusercontent.com/gps-cs-s/AHVAwepZgj9KDrWAcIKCcdEQvKL9kA7aut67bAXdD_UbgluZi1eyIEKGTDd4W2Ot0NHTpZVps8xOYNbLUr2XhdBk7xRvxGWjlDwfa2TtggpKxBYs-huXcIWzgtgy6iApqKIVLIOxP9kSQQ=w800-h500-k-no,"https://www.google.com/maps/place/The+Sportsmans+Inn/@54.7517308,-6.000198999999999,14z/data=!4m8!1m2!2m1!1sThe+Sportsmans+Inn!3m4!1s0x4861a58de847addd:0xcf03382e1cfd96bf!8m2!3d54.7517308!4d-6.000198999999999",ChIJ3a1H6I2lYUgRv5b9HC44A88
McConnells of Doagh,mcconnells-of-doagh-ballyclare,ballyclare,pubs,"4 Main St, Doagh, Ballyclare BT39 0QL",+44 28 9335 2352,http://www.mcconnellsofdoagh.com/,4.7,444,54.7376594,-6.042823299999999,"Pub, Restaurant",,https://lh3.googleusercontent.com/gps-cs-s/AHVAweoaEiei-rr821Xpc5G11wXRdfImshlxDdWe-ZP3gGdrxiOkdw_gPI59txcDJbLGs_lSLuwBRNRedKvvZgp0l1qdgwO1UFD_suJJCT58btiV4nUZrq7vFcFcoma0zG4Emcrs_rWz=w800-h500-k-no,"https://www.google.com/maps/place/McConnells+of+Doagh/@54.7376594,-6.042823299999999,14z/data=!4m8!1m2!2m1!1sMcConnells+of+Doagh!3m4!1s0x4861af391ee54413:0xf4e7dd57e5e5cffa!8m2!3d54.7376594!4d-6.042823299999999",ChIJE0TlHjmvYUgR-s_l5Vfd5_Q
5 Corners Guest Inn,5-corners-guest-inn-ballyclare,ballyclare,pubs,"249 Rashee Rd, Ballyclare BT39 9JN",+44 28 9332 2657,http://5corners.co.uk/,4.5,437,54.77205619999999,-6.023467399999999,"Pub, Bar, Bed & breakfast, Breakfast restaurant, Inn, Hotel","Low-key inn offering bright rooms, a full Irish breakfast & a restaurant, plus a bar.",https://lh3.googleusercontent.com/gps-cs-s/AHVAweqGZaOaKYkh-Co05Y3kspASd2fP72f8Atsq2XyvomGyev96deWF9zp6LGTi79YvvYlvnUA7Jsr2e1wxAW8zvjF8RbbwqCcxsYajFaTP2E0rh2L7QTmGPJHn0DuhNX0ZuLrDxwEQ7Q=w800-h500-k-no,"https://www.google.com/maps/place/5+Corners+Guest+Inn/@54.772056199999994,-6.0234673999999995,14z/data=!4m8!1m2!2m1!1s5+Corners+Guest+Inn!3m4!1s0x4861af8143297929:0x2375ad500eb91da!8m2!3d54.772056199999994!4d-6.0234673999999995",ChIJKXkpQ4GvYUgR2pHrANVaNwI
Grange Bar,grange-bar-ballyclare,ballyclare,bars,"22-26 The Square, Ballyclare BT39 9BB",,,4.0,12,54.75308039999999,-6.0012387,Bar,,https://lh3.googleusercontent.com/gps-cs-s/AHVAwep55teVscGyI_qRjQe5z2CywScs7Gjn0LhWaps3anLvw26jB7ShNfnf4TzBtVqwed-E7b69ILgRJfvNKIBXBIgp0vwmbQQgqzvrsVbXf7ornh73U-FM24vtIBD4S-HSv1gfYbRC=w800-h500-k-no,"https://www.google.com/maps/place/Grange+Bar/@54.753080399999995,-6.0012387,14z/data=!4m8!1m2!2m1!1sGrange+Bar!3m4!1s0x4861a58e63540001:0xcbf0cef4f8029352!8m2!3d54.753080399999995!4d-6.0012387",ChIJAQBUY46lYUgRUpMC-PTO8Ms
Staffy's,staffys-ballyclare,ballyclare,pubs,"14 Ballyeaston Rd, Ballyeaston, Ballyclare BT39 9SH",,,5.0,27,54.7717153,-5.9978696,Irish pub,,https://lh3.googleusercontent.com/gps-cs-s/AHVAweoJNUIzKulk3gaFkCfdkgplXfkjhqYbqyAOg326JxG_MWUYNVBdvhmMapR1PlotRc1pUUMvGjlIpja8N-tgW1sdMhUIvgex1qQpaUdbAg941ybbAS_xtjWDY3vJbH53Pc65r8ks=w800-h500-k-no,"https://www.google.com/maps/place/Staffy%27s/@54.7717153,-5.9978696,14z/data=!4m8!1m2!2m1!1sStaffy%27s!3m4!1s0x4861a5770e9d5f8f:0x8a0adf2f3209bb3e!8m2!3d54.7717153!4d-5.9978696",ChIJj1-dDnelYUgRPrsJMi_fCoo
Royal Oak,royal-oak-carrickfergus,carrickfergus,pubs,"14 Green St, Carrickfergus BT38 7DT",+44 28 9336 3324,https://cocxi.pw/royal-oak-gcstt8,4.5,246,54.7190879,-5.795882799999999,"Pub, Bar",,https://lh3.googleusercontent.com/gps-cs-s/AHVAwerdSmsmVTGIkuSgiqXCMTAc6i_HntPQfLAkITzDIx_TQKCvzA2foQ2Y8DS6NnZUvrXV2V8FWX3BFLCOy16mkPi5KGTExYcr_2oLZlUTaS6Zy_tD67_er61vpjLaq63BGmjpmMli=w800-h500-k-no,"https://www.google.com/maps/place/Royal+Oak/@54.7190879,-5.795882799999999,14z/data=!4m8!1m2!2m1!1sRoyal+Oak!3m4!1s0x4861a1ec632c88db:0x3f4d9200fe23114f!8m2!3d54.7190879!4d-5.795882799999999",ChIJ24gsY-yhYUgRTxEj_gCSTT8
